number ,value  ,datetime_start             ,datetime_complete          ,duration               ,params_lgbm__bagging_fraction ,params_lgbm__bagging_freq ,params_lgbm__feature_fraction ,params_lgbm__lambda_l1 ,params_lgbm__lambda_l2 ,params_lgbm__min_child_samples ,params_lgbm__n_estimators ,params_lgbm__num_leaves ,state
3      ,-2.46  ,2021-10-26 21:04:32.746440 ,2021-10-26 21:04:57.572069 ,0 days 00:00:24.825629 ,0.4851588947324218            ,6                         ,0.8658577978072073            ,2.7497577282738948e-06 ,0.04626665121144527    ,98                             ,550                       ,152                     ,COMPLETE
161    ,-2.448 ,2021-10-26 21:10:07.470307 ,2021-10-26 21:10:33.644909 ,0 days 00:00:26.174602 ,0.44769611301335044           ,5                         ,0.8759401321063708            ,6.437879608986303e-05  ,0.00028080710971542446 ,42                             ,231                       ,221                     ,COMPLETE
14     ,-2.415 ,2021-10-26 21:04:57.889635 ,2021-10-26 21:05:57.787785 ,0 days 00:00:59.898150 ,0.7074942967478501            ,6                         ,0.6461923645298908            ,4.63509639148245e-07   ,9.367499811985675e-06  ,6                              ,718                       ,198                     ,COMPLETE
190    ,-2.387 ,2021-10-26 21:10:54.444392 ,2021-10-26 21:11:10.331078 ,0 days 00:00:15.886686 ,0.5298591310571412            ,5                         ,0.7210207263399071            ,3.7840987280304934     ,0.016265141304801754   ,77                             ,372                       ,16                      ,COMPLETE
154    ,-2.378 ,2021-10-26 21:09:52.907835 ,2021-10-26 21:10:07.405917 ,0 days 00:00:14.498082 ,0.6723414872623511            ,4                         ,0.863140280676312             ,0.3285774814981322     ,0.5999738033458771     ,76                             ,460                       ,105                     ,COMPLETE
20     ,-2.373 ,2021-10-26 21:05:33.389361 ,2021-10-26 21:06:04.019243 ,0 days 00:00:30.629882 ,0.40246089012789227           ,4                         ,0.6614837470830147            ,0.057322434501685816   ,0.00040751740636111656 ,71                             ,792                       ,78                      ,COMPLETE
46     ,-2.345 ,2021-10-26 21:06:36.537701 ,2021-10-26 21:06:47.587678 ,0 days 00:00:11.049977 ,0.4596117685788995            ,2                         ,0.8374555547736593            ,0.0007882205784651601  ,4.63936366599198       ,100                            ,469                       ,240                     ,COMPLETE
301    ,-2.327 ,2021-10-26 21:15:08.820783 ,2021-10-26 21:15:30.154368 ,0 days 00:00:21.333585 ,0.9160902380613997            ,7                         ,0.6439291768754292            ,0.006813347677664279   ,0.009143134632392953   ,30                             ,435                       ,193                     ,COMPLETE
382    ,-2.314 ,2021-10-26 21:17:39.284666 ,2021-10-26 21:17:59.354730 ,0 days 00:00:20.070064 ,0.4635821901728977            ,7                         ,0.6632468982995445            ,0.029464200861432626   ,0.0002888548864219397  ,28                             ,420                       ,171                     ,COMPLETE
200    ,-2.297 ,2021-10-26 21:11:16.277746 ,2021-10-26 21:11:42.533761 ,0 days 00:00:26.256015 ,0.6471639796374855            ,6                         ,0.6849038450490246            ,0.021224177763286545   ,0.00432537831679645    ,9                              ,397                       ,173                     ,COMPLETE
