Division,Date,HomeTeam,AwayTeam,Full_Time_Result,Half_Time_Home_Team_Goals,Half_Time_Away_Team_Goals,Half_Time_Result,Home_Team_Shots,Away_Team_Shots,Home_Team_Target_Shots,Away_Team_Target_Shots,Home_Team_Fouls_Commited,Away_Team_Fouls_Commited,Home_Team_Corners,Away_Team_Corners,Home_Team_Yellow_Cards,Away_Team_Yellow_Cards,Home_Team_Red_Cards,Home_Team_Red_Cards.1,Bet365_Home_Win_Odds,Bet365_Draw_Odds,Bet365_Away_Win_Odds,BetAndWin_Home_Win_Odds,BetAndWin_Draw_Odds,BetAndWin_Away_Win_Odds,Interwetten_Home_Win_Odds,Interwetten_Draw_Odds,Interwetten_Away_Win_Odds,WilliamHill_Home_Win_Odds,WilliamHill_Draw_Odds,WilliamHill_Away_Win_Odds,VCBet_Home_Win_Odds,VCBet_Draw_Odds,VCBet_Away_Win_Odds,Home Overall Score,Home Attack Score,Home Middle Score,Home Defensive Score,Home Budget,Away Overall Score,Away Attack Score,Away Middle Score,Away Defensive Score,Away Budget,HOME_ELO,AWAY_ELO,Difference_Overall_Score,Difference_Attack_Score,Difference_Middle_Score,Difference_Defensive_Score,Difference_Budget,DIFFERENCE_ELO
SP1,2009-09-23,Xerez,La Coruna,2.0,0.0,1.0,A,10.0,13.0,3.0,3.0,10.0,16.0,5.0,8.0,1.0,1.0,0.0,0.0,2.88,3.25,2.45,2.8,3.3,2.25,2.65,3.3,2.5,2.9,3.25,2.4,2.8,3.25,2.25,72,67,64,67,1.6,76,69,71,69,8.0,962.170750720577,1044.8246432671317,-4,-2,-7,-2,-6.4,-82.65389254655474
SP1,2009-09-24,Sp Gijon,Zaragoza,0.0,1.0,0.0,H,13.0,13.0,5.0,5.0,12.0,19.0,5.0,8.0,2.0,2.0,0.0,0.0,2.25,3.4,3.1,2.1,3.4,3.0,2.2,3.3,3.1,2.4,3.1,3.1,2.3,3.2,2.8,73,69,71,68,1.9,74,70,72,68,5.0,931.8912369237362,949.9660423999777,-1,-1,-1,0,-3.1,-18.074805476241522
SP1,2009-09-26,Ath Bilbao,Sevilla,2.0,0.0,3.0,A,13.0,16.0,3.0,8.0,21.0,13.0,4.0,3.0,2.0,2.0,1.0,0.0,2.9,3.3,2.4,2.9,3.3,2.2,2.8,3.3,2.4,2.62,3.1,2.38,2.8,3.2,2.3,75,66,70,70,8.5,79,71,78,71,30.0,994.3474756991793,1177.9343902563755,-4,-5,-8,-1,-21.5,-183.58691455719622
SP1,2009-09-26,Malaga,Barcelona,2.0,0.0,1.0,A,3.0,11.0,0.0,6.0,16.0,17.0,3.0,1.0,3.0,3.0,1.0,0.0,11.0,5.0,1.29,9.0,5.75,1.22,8.0,4.8,1.33,8.0,4.5,1.29,11.0,5.0,1.22,74,68,69,68,2.5,84,73,77,74,85.0,1003.8136752045291,1302.7294555288786,-10,-5,-8,-6,-82.5,-298.9157803243495
SP1,2009-09-26,Real Madrid,Tenerife,1.0,0.0,0.0,D,18.0,20.0,7.0,7.0,15.0,22.0,5.0,8.0,1.0,5.0,0.0,0.0,1.11,8.5,21.0,1.08,8.0,19.0,1.12,7.0,22.0,1.1,6.5,17.0,1.1,8.0,15.0,83,71,80,72,100.0,72,67,70,68,1.6,1227.1159062299957,999.0269756531505,11,4,10,4,98.4,228.0889305768452
SP1,2009-09-26,Valencia,Ath Madrid,0.0,2.0,1.0,H,15.0,15.0,7.0,3.0,15.0,10.0,13.0,5.0,2.0,1.0,0.0,0.0,1.91,3.4,4.0,1.8,3.35,4.0,1.85,3.5,3.8,1.83,3.2,3.75,1.8,3.3,4.0,80,73,76,75,18.0,79,70,73,69,25.0,1090.6740565629684,1095.9078609308087,1,3,3,6,-7.0,-5.233804367840321
SP1,2009-09-27,Almeria,Santander,0.0,1.0,0.0,H,13.0,13.0,4.0,6.0,14.0,19.0,7.0,4.0,3.0,2.0,0.0,0.0,2.25,3.25,3.2,2.15,3.2,3.1,2.0,3.3,3.6,2.2,3.2,2.8,2.2,3.2,3.0,74,69,69,68,2.8,75,68,71,65,3.5,969.8161863244868,980.2515158559466,-1,1,-2,3,-0.7000000000000002,-10.435329531459843
SP1,2009-09-27,Espanol,Xerez,0.0,0.0,0.0,D,16.0,4.0,3.0,1.0,12.0,10.0,10.0,2.0,1.0,1.0,0.0,0.0,1.53,4.0,6.0,1.5,3.75,6.0,1.55,3.7,6.0,1.53,3.5,5.5,1.5,3.5,6.0,75,73,67,67,11.0,72,67,64,67,1.6,1053.3416917529214,934.6112781420851,3,6,3,0,9.4,118.73041361083631
SP1,2009-09-27,La Coruna,Villarreal,1.0,1.0,0.0,H,12.0,13.0,7.0,7.0,23.0,17.0,3.0,9.0,1.0,3.0,0.0,0.0,2.4,3.3,2.9,2.3,3.2,2.8,2.4,3.2,2.85,2.2,3.2,2.8,2.2,3.2,3.0,76,69,71,69,8.0,78,78,75,74,17.5,1072.3841158456237,1078.5982386202816,-2,-9,-4,-5,-9.5,-6.214122774657881
SP1,2009-09-27,Mallorca,Valladolid,1.0,1.0,0.0,H,13.0,6.0,8.0,0.0,17.0,19.0,9.0,5.0,0.0,0.0,0.0,0.0,1.85,3.4,4.2,1.8,3.3,4.1,1.75,3.5,4.6,1.8,3.3,3.75,1.75,3.3,4.33,73,70,70,68,2.0,74,68,71,71,3.3,1110.4255141388608,927.6924602089927,-1,2,-1,-3,-1.2999999999999998,182.7330539298681
SP1,2009-09-27,Osasuna,Sp Gijon,1.0,0.0,0.0,D,12.0,9.0,2.0,0.0,14.0,18.0,5.0,1.0,1.0,3.0,0.0,0.0,1.91,3.4,4.0,1.9,3.3,3.65,1.85,3.5,3.8,1.91,3.2,3.5,1.85,3.25,3.8,74,68,69,70,5.5,73,69,71,68,1.9,992.5891857486015,928.4183701370014,1,-1,-2,2,3.6,64.17081561160012
SP1,2009-09-27,Zaragoza,Getafe,1.0,2.0,0.0,H,19.0,12.0,10.0,4.0,15.0,8.0,5.0,3.0,2.0,2.0,0.0,0.0,2.2,3.25,3.3,2.2,3.25,2.95,2.3,3.3,2.9,2.0,3.2,3.2,2.2,3.2,3.0,74,70,72,68,5.0,75,72,72,75,2.5,953.4389091867125,1011.0284643389056,-1,-2,0,-7,2.5,-57.58955515219304
SP1,2009-03-10,Ath Madrid,Zaragoza,1.0,1.0,0.0,H,16.0,14.0,6.0,4.0,17.0,14.0,6.0,12.0,6.0,3.0,0.0,0.0,1.57,3.8,6.0,1.55,3.6,5.6,1.6,3.7,5.4,1.5,3.6,5.5,1.57,3.6,5.5,79,70,73,69,25.0,74,70,72,68,5.0,1099.9007147115608,976.5004691340723,5,0,1,1,20.0,123.40024557748848
SP1,2009-03-10,Barcelona,Almeria,1.0,1.0,0.0,H,17.0,0.0,7.0,0.0,18.0,14.0,10.0,3.0,3.0,3.0,0.0,0.0,1.08,10.0,26.0,1.1,8.0,15.0,1.12,7.5,18.0,1.08,7.0,17.0,1.1,7.5,21.0,84,73,77,74,85.0,74,69,69,68,2.8,1313.5921921942156,966.0328073192668,10,4,8,6,82.2,347.5593848749488
SP1,2009-03-10,Tenerife,La Coruna,2.0,0.0,0.0,D,17.0,11.0,4.0,5.0,20.0,13.0,6.0,9.0,2.0,1.0,0.0,0.0,2.5,3.3,2.75,2.5,3.2,2.6,2.4,3.3,2.8,2.4,3.1,2.6,2.4,3.25,2.62,72,67,70,68,1.6,76,69,71,69,8.0,992.1284462187507,1083.4306163219678,-4,-2,-1,-1,-6.4,-91.30217010321712
SP1,2009-04-10,Getafe,Osasuna,1.0,0.0,0.0,D,14.0,13.0,7.0,2.0,16.0,19.0,5.0,5.0,2.0,2.0,0.0,0.0,2.05,3.3,3.6,2.0,3.3,3.35,1.9,3.3,3.9,1.91,3.25,3.4,2.0,3.25,3.4,75,72,72,75,2.5,74,68,69,70,5.5,987.9669043915458,1000.985668845237,1,4,3,5,-3.0,-13.018764453691233
SP1,2009-04-10,Santander,Valencia,2.0,0.0,0.0,D,18.0,7.0,6.0,2.0,21.0,20.0,6.0,1.0,1.0,3.0,0.0,0.0,3.4,3.4,2.1,3.35,3.3,2.0,3.35,3.3,2.1,3.1,3.3,2.0,3.1,3.3,2.1,75,68,71,65,3.5,80,73,76,75,18.0,984.0348948611667,1086.6812027822164,-5,-5,-5,-10,-14.5,-102.6463079210497
SP1,2009-04-10,Sevilla,Real Madrid,1.0,1.0,0.0,H,24.0,17.0,10.0,3.0,20.0,9.0,14.0,6.0,4.0,3.0,0.0,0.0,3.75,3.5,1.95,3.7,3.45,1.85,3.7,3.5,1.9,3.25,3.4,1.91,3.5,3.5,1.9,79,71,78,71,30.0,83,71,80,72,100.0,1198.035933827633,1234.0144356643955,-4,0,-2,-1,-70.0,-35.97850183676246
SP1,2009-04-10,Sp Gijon,Mallorca,1.0,0.0,1.0,A,19.0,8.0,8.0,2.0,9.0,14.0,3.0,4.0,2.0,1.0,0.0,0.0,2.45,3.3,2.8,2.3,3.25,2.8,2.5,3.3,2.65,2.3,3.2,2.62,2.4,3.2,2.7,73,69,71,68,1.9,73,70,70,68,2.0,920.0218870403659,1119.0442985086813,0,-1,1,0,-0.10000000000000009,-199.02241146831545
SP1,2009-04-10,Valladolid,Ath Bilbao,0.0,0.0,1.0,A,19.0,9.0,4.0,3.0,15.0,9.0,14.0,5.0,3.0,4.0,2.0,1.0,2.4,3.3,2.88,2.3,3.25,2.8,2.4,3.2,2.85,2.3,3.2,2.62,2.4,3.25,2.62,74,68,71,71,3.3,75,66,70,70,8.5,919.0736758391721,974.2459321279218,-1,2,1,1,-5.2,-55.172256288749736
