Division,Date,HomeTeam,AwayTeam,Full_Time_Home_Team_Goals,Full_Time_Away_Team_Goals,Full_Time_Result,Half_Time_Home_Team_Goals,Half_Time_Away_Team_Goals,Half_Time_Result,Home_Team_Shots,Away_Team_Shots,Home_Team_Target_Shots,Away_Team_Target_Shots,Home_Team_Fouls_Commited,Away_Team_Fouls_Commited,Home_Team_Corners,Away_Team_Corners,Home_Team_Yellow_Cards,Away_Team_Yellow_Cards,Home_Team_Red_Cards,Home_Team_Red_Cards,Bet365_Home_Win_Odds,Bet365_Draw_Odds,Bet365_Away_Win_Odds,BetAndWin_Home_Win_Odds,BetAndWin_Draw_Odds,BetAndWin_Away_Win_Odds,Interwetten_Home_Win_Odds,Interwetten_Draw_Odds,Interwetten_Away_Win_Odds,WilliamHill_Home_Win_Odds,WilliamHill_Draw_Odds,WilliamHill_Away_Win_Odds,VCBet_Home_Win_Odds,VCBet_Draw_Odds,VCBet_Away_Win_Odds,Season,Home Overall Score,Home Attack Score,Home Middle Score,Home Defensive Score,Home Budget,Away Overall Score,Away Attack Score,Away Middle Score,Away Defensive Score,Away Budget
SP1,2006-09-09,Ath Madrid,Valencia,0.0,1.0,A,0.0,1.0,A,22.0,8.0,2.0,5.0,24.0,23.0,7.0,1.0,1.0,3.0,1.0,1.0,2.4,3.2,2.87,2.3,3.2,2.8,2.4,2.8,3.0,2.37,3.0,2.7,2.35,3.0,2.7,2006_2007,79,82,76,77,6.0,81,83,80,78,25.0
SP1,2006-09-09,Barcelona,Osasuna,3.0,0.0,H,3.0,0.0,H,16.0,9.0,6.0,2.0,8.0,15.0,5.0,2.0,0.0,1.0,0.0,0.0,1.28,5.0,10.0,1.3,4.65,8.5,1.33,4.2,8.0,1.28,4.5,8.0,1.25,5.0,8.5,2006_2007,85,83,83,82,75.0,78,80,76,73,7.5
SP1,2006-10-09,Betis,Ath Bilbao,3.0,0.0,H,2.0,0.0,H,12.0,12.0,8.0,4.0,15.0,17.0,3.0,5.0,1.0,3.0,0.0,0.0,2.0,3.3,3.6,1.95,3.3,3.5,2.0,3.1,3.4,2.1,3.0,3.2,2.0,3.2,3.25,2006_2007,76,76,74,73,5.0,76,75,74,73,1.0
SP1,2006-10-09,Getafe,Santander,1.0,0.0,H,0.0,0.0,D,14.0,10.0,3.0,2.0,18.0,15.0,7.0,3.0,0.0,4.0,0.0,0.0,1.83,3.3,4.33,1.75,3.4,4.3,1.8,3.1,4.2,1.83,3.0,4.0,1.85,3.2,3.75,2006_2007,74,72,74,75,1.0,72,74,72,67,2.5
SP1,2006-10-09,Gimnastic,Celta,1.0,2.0,A,0.0,0.0,D,7.0,8.0,2.0,2.0,19.0,20.0,6.0,3.0,0.0,4.0,0.0,0.0,2.6,3.2,2.62,2.7,3.2,2.4,2.6,3.0,2.6,2.5,3.1,2.5,2.5,3.1,2.5,2006_2007,72,73,69,69,1.5,74,76,73,72,6.0
SP1,2006-10-09,Levante,Real Madrid,1.0,4.0,A,1.0,2.0,A,10.0,15.0,2.0,6.0,21.0,13.0,1.0,0.0,3.0,1.0,2.0,0.0,7.0,3.75,1.5,7.5,4.35,1.35,6.3,3.5,1.5,6.0,3.4,1.5,6.5,3.6,1.45,2006_2007,74,75,74,73,2.5,84,81,80,78,85.0
SP1,2006-10-09,Mallorca,La Coruna,0.0,0.0,D,0.0,0.0,D,14.0,10.0,2.0,2.0,19.0,24.0,2.0,6.0,0.0,2.0,0.0,0.0,2.5,3.1,2.8,2.5,3.15,2.6,2.5,2.9,2.8,2.5,3.1,2.5,2.4,3.1,2.6,2006_2007,72,71,72,71,2.5,75,72,74,74,8.0
SP1,2006-10-09,Sociedad,Sevilla,1.0,3.0,A,0.0,1.0,A,2.0,3.0,2.0,3.0,3.0,4.0,0.0,0.0,3.0,4.0,0.0,0.0,3.1,3.1,2.3,2.95,3.25,2.2,2.9,2.9,2.4,2.8,3.1,2.25,2.8,3.1,2.25,2006_2007,72,71,73,70,2.5,79,83,73,77,15.0
SP1,2006-10-09,Villarreal,Recreativo,0.0,1.0,A,0.0,0.0,D,13.0,8.0,7.0,3.0,17.0,14.0,12.0,2.0,1.0,1.0,0.0,0.0,1.5,3.75,7.0,1.45,3.75,6.75,1.55,3.5,5.5,1.44,3.6,6.5,1.45,3.6,6.5,2006_2007,77,81,77,74,15.0,72,74,73,70,1.5
SP1,2006-10-09,Zaragoza,Espanol,3.0,0.0,H,1.0,0.0,H,5.0,9.0,4.0,1.0,16.0,20.0,4.0,9.0,3.0,2.0,1.0,1.0,1.72,3.3,5.0,1.75,3.3,4.35,1.8,3.1,4.2,1.8,3.1,4.0,1.7,3.25,4.5,2006_2007,76,78,74,72,5.0,76,78,74,68,15.0
SP1,2006-09-16,La Coruna,Villarreal,2.0,0.0,H,1.0,0.0,H,19.0,16.0,7.0,5.0,23.0,24.0,7.0,7.0,1.0,4.0,0.0,0.0,2.3,3.25,3.0,2.15,3.2,3.1,2.2,3.1,3.0,2.05,3.1,3.2,2.2,3.0,3.0,2006_2007,75,72,74,74,8.0,77,81,77,74,15.0
SP1,2006-09-17,Ath Bilbao,Ath Madrid,1.0,4.0,A,0.0,2.0,A,6.0,11.0,0.0,4.0,12.0,11.0,3.0,3.0,0.0,1.0,0.0,0.0,2.7,3.25,2.5,2.6,3.25,2.45,2.55,3.1,2.55,2.5,3.1,2.5,2.4,3.2,2.5,2006_2007,76,75,74,73,1.0,79,82,77,77,6.0
SP1,2006-09-17,Espanol,Celta,2.0,1.0,H,0.0,0.0,D,9.0,15.0,3.0,5.0,21.0,14.0,1.0,8.0,3.0,1.0,0.0,0.0,2.4,3.2,2.87,2.3,3.15,2.85,2.3,3.1,2.8,2.5,3.1,2.5,2.3,3.1,2.7,2006_2007,76,78,74,68,15.0,74,76,73,72,6.0
SP1,2006-09-17,Osasuna,Gimnastic,2.0,0.0,H,1.0,0.0,H,10.0,8.0,2.0,1.0,13.0,26.0,5.0,6.0,1.0,1.0,0.0,0.0,1.72,3.6,4.5,1.6,3.5,5.15,1.7,3.3,4.5,1.7,3.2,4.5,1.65,3.25,4.5,2006_2007,78,80,76,74,7.5,72,73,69,69,1.5
SP1,2006-09-17,Real Madrid,Sociedad,2.0,0.0,H,0.0,0.0,D,16.0,5.0,6.0,2.0,18.0,22.0,10.0,5.0,1.0,3.0,0.0,1.0,1.28,5.0,10.0,1.25,4.7,11.0,1.25,4.6,10.5,1.22,5.0,9.5,1.25,4.5,9.5,2006_2007,84,81,80,78,85.0,72,71,73,70,2.5
SP1,2006-09-17,Recreativo,Levante,0.0,1.0,A,0.0,0.0,D,18.0,8.0,4.0,2.0,16.0,26.0,6.0,5.0,0.0,4.0,0.0,0.0,2.0,3.2,3.75,2.0,3.2,3.45,2.0,3.0,3.6,1.83,3.2,3.75,2.0,3.2,3.2,2006_2007,72,74,73,70,1.5,74,75,74,73,2.5
SP1,2006-09-17,Santander,Barcelona,0.0,3.0,A,0.0,1.0,A,8.0,20.0,3.0,7.0,31.0,14.0,2.0,4.0,5.0,3.0,1.0,0.0,7.5,4.33,1.4,7.5,4.35,1.35,7.0,3.6,1.45,7.0,3.75,1.4,7.5,3.7,1.4,2006_2007,72,74,72,67,2.5,85,83,83,82,75.0
SP1,2006-09-17,Sevilla,Betis,3.0,2.0,H,1.0,1.0,D,6.0,6.0,4.0,4.0,2.0,2.0,4.0,1.0,1.0,2.0,0.0,0.0,1.66,3.6,5.0,1.65,3.4,5.0,1.75,3.2,4.3,1.72,3.1,4.5,1.6,3.3,5.0,2006_2007,79,83,73,77,15.0,76,75,74,76,5.0
SP1,2006-09-17,Valencia,Getafe,2.0,0.0,H,1.0,0.0,H,14.0,13.0,7.0,6.0,17.0,17.0,3.0,4.0,3.0,4.0,0.0,0.0,1.44,4.0,7.5,1.5,3.65,6.15,1.55,3.5,5.5,1.44,3.5,7.0,1.45,3.6,6.5,2006_2007,81,86,80,78,25.0,74,72,74,75,1.0
SP1,2006-09-17,Zaragoza,Mallorca,2.0,0.0,H,0.0,0.0,D,20.0,14.0,11.0,5.0,22.0,20.0,4.0,4.0,4.0,1.0,0.0,1.0,1.66,3.6,5.0,1.6,3.5,5.25,1.7,3.2,4.7,1.72,3.1,4.5,1.65,3.2,5.0,2006_2007,76,78,74,72,5.0,72,71,72,71,2.5
SP1,2006-09-23,Betis,Real Madrid,0.0,1.0,A,0.0,1.0,A,6.0,15.0,1.0,3.0,17.0,24.0,3.0,4.0,2.0,7.0,1.0,0.0,3.75,3.2,2.0,3.65,3.3,1.9,4.0,3.1,1.85,3.75,3.2,1.83,3.6,3.3,1.85,2006_2007,76,75,74,76,5.0,84,81,80,78,85.0
SP1,2006-09-24,Ath Madrid,Sevilla,2.0,1.0,H,0.0,1.0,A,11.0,5.0,8.0,3.0,8.0,6.0,1.0,2.0,7.0,3.0,0.0,2.0,2.3,3.25,3.0,2.3,3.2,2.8,2.4,3.0,2.8,2.37,3.1,2.62,2.4,3.1,2.6,2006_2007,79,82,77,77,6.0,79,83,73,77,15.0
SP1,2006-09-24,Barcelona,Valencia,1.0,1.0,D,0.0,1.0,A,21.0,6.0,6.0,2.0,12.0,12.0,6.0,3.0,1.0,3.0,0.0,0.0,1.53,4.0,5.5,1.55,3.5,5.75,1.55,3.5,5.5,1.57,3.3,5.5,1.5,3.6,5.5,2006_2007,85,83,83,82,75.0,81,86,80,78,25.0
SP1,2006-09-24,Celta,Osasuna,0.0,2.0,A,0.0,1.0,A,9.0,9.0,4.0,3.0,15.0,17.0,3.0,4.0,3.0,4.0,1.0,0.0,1.9,3.25,4.0,1.95,3.25,3.55,1.9,3.1,3.8,1.9,3.1,3.6,1.85,3.2,3.75,2006_2007,74,76,73,72,6.0,78,80,76,74,7.5
SP1,2006-09-24,Getafe,Ath Bilbao,0.0,0.0,D,0.0,0.0,D,14.0,11.0,2.0,2.0,20.0,14.0,7.0,6.0,0.0,4.0,1.0,2.0,1.9,3.25,4.0,1.85,3.3,3.85,1.85,3.1,4.0,1.83,3.2,3.75,1.85,3.2,3.75,2006_2007,74,72,74,75,1.0,76,75,74,73,1.0
SP1,2006-09-24,Gimnastic,Santander,2.0,2.0,D,1.0,0.0,H,11.0,14.0,5.0,7.0,20.0,15.0,5.0,5.0,2.0,4.0,0.0,0.0,2.25,3.2,3.1,2.3,3.1,2.9,2.2,3.0,3.1,2.1,3.1,3.1,2.2,3.1,2.9,2006_2007,72,73,69,69,1.5,72,74,72,67,2.5
SP1,2006-09-24,Levante,La Coruna,2.0,0.0,H,1.0,0.0,H,9.0,13.0,5.0,2.0,21.0,25.0,1.0,4.0,1.0,3.0,1.0,1.0,2.9,3.2,2.37,3.25,3.15,2.1,3.1,3.0,2.2,2.8,3.1,2.25,3.0,3.2,2.1,2006_2007,74,75,74,73,2.5,75,72,74,74,8.0
SP1,2006-09-24,Mallorca,Espanol,1.0,0.0,H,0.0,0.0,D,17.0,9.0,7.0,2.0,21.0,24.0,5.0,3.0,1.0,4.0,0.0,1.0,2.1,3.2,3.5,2.1,3.15,3.25,2.1,3.0,3.3,2.1,3.1,3.1,2.0,3.2,3.2,2006_2007,72,71,72,71,2.5,76,78,74,68,15.0
SP1,2006-09-24,Sociedad,Recreativo,2.0,3.0,A,0.0,1.0,A,11.0,10.0,3.0,6.0,20.0,15.0,5.0,5.0,1.0,1.0,0.0,0.0,1.9,3.25,4.0,1.85,3.35,3.8,1.9,3.1,3.8,2.0,3.1,3.3,1.9,3.2,3.5,2006_2007,72,71,73,70,2.5,72,74,73,70,1.5
SP1,2006-09-24,Villarreal,Zaragoza,3.0,2.0,H,0.0,1.0,A,20.0,17.0,8.0,4.0,20.0,23.0,10.0,2.0,2.0,4.0,0.0,1.0,2.0,3.2,3.75,1.95,3.25,3.55,2.0,3.0,3.6,1.95,3.1,3.5,1.9,3.2,3.5,2006_2007,77,81,77,74,15.0,76,78,74,72,5.0
SP1,2006-09-30,Ath Bilbao,Barcelona,1.0,3.0,A,1.0,1.0,D,5.0,16.0,2.0,4.0,6.0,10.0,5.0,3.0,0.0,1.0,1.0,0.0,6.0,4.0,1.5,6.5,3.85,1.45,6.0,3.6,1.5,6.0,3.75,1.44,6.5,3.6,1.45,2006_2007,76,75,74,73,1.0,85,83,83,82,75.0
SP1,2006-01-10,Espanol,Osasuna,0.0,0.0,D,0.0,0.0,D,10.0,9.0,3.0,1.0,19.0,24.0,5.0,7.0,2.0,2.0,0.0,0.0,2.37,3.25,2.87,2.25,3.2,2.9,2.4,3.0,2.8,2.37,3.1,2.62,2.25,3.2,2.75,2006_2007,76,78,74,68,15.0,78,80,76,74,7.5
SP1,2006-01-10,La Coruna,Sociedad,2.0,0.0,H,0.0,0.0,D,11.0,9.0,5.0,2.0,18.0,29.0,4.0,1.0,2.0,2.0,0.0,0.0,1.57,3.6,6.0,1.6,3.6,5.0,1.65,3.4,4.7,1.57,3.3,5.5,1.55,3.5,5.0,2006_2007,75,72,74,74,8.0,72,71,73,70,2.5
SP1,2006-01-10,Mallorca,Villarreal,1.0,2.0,A,0.0,2.0,A,14.0,6.0,5.0,3.0,16.0,15.0,13.0,3.0,1.0,4.0,0.0,0.0,2.5,3.2,2.5,2.6,3.15,2.5,2.6,3.0,2.6,2.4,3.1,2.6,2.35,3.1,2.65,2006_2007,72,71,72,71,2.5,77,81,77,74,15.0
SP1,2006-01-10,Real Madrid,Ath Madrid,1.0,1.0,D,1.0,1.0,D,10.0,18.0,2.0,6.0,23.0,29.0,3.0,4.0,2.0,5.0,1.0,0.0,1.66,3.6,5.0,1.7,3.4,4.5,1.65,3.4,4.7,1.57,3.3,5.5,1.65,3.25,4.6,2006_2007,84,81,80,78,85.0,79,82,77,77,6.0
SP1,2006-01-10,Recreativo,Betis,2.0,0.0,H,0.0,0.0,D,10.0,6.0,7.0,1.0,15.0,15.0,6.0,8.0,0.0,0.0,0.0,0.0,2.5,3.2,2.75,2.65,3.15,2.45,2.4,3.0,2.8,2.37,3.1,2.62,2.4,3.2,2.6,2006_2007,72,74,73,70,1.5,76,75,74,76,5.0
SP1,2006-01-10,Santander,Celta,1.0,1.0,D,1.0,0.0,H,8.0,16.0,4.0,6.0,33.0,20.0,2.0,4.0,7.0,2.0,1.0,0.0,2.5,3.2,2.75,2.5,3.15,2.6,2.55,3.1,2.55,2.5,3.1,2.5,2.5,3.2,2.5,2006_2007,72,74,72,67,2.5,74,76,73,72,6.0
SP1,2006-01-10,Sevilla,Getafe,1.0,0.0,H,1.0,0.0,H,15.0,3.0,7.0,1.0,16.0,19.0,5.0,5.0,1.0,2.0,0.0,0.0,1.57,3.6,6.0,1.55,3.6,5.5,1.55,3.5,5.5,1.5,3.4,6.0,1.53,3.6,5.5,2006_2007,79,83,73,77,15.0,74,72,74,75,1.0
SP1,2006-01-10,Valencia,Gimnastic,4.0,0.0,H,1.0,0.0,H,16.0,10.0,7.0,1.0,15.0,16.0,2.0,9.0,2.0,3.0,0.0,0.0,1.25,5.0,12.0,1.25,5.25,9.0,1.3,4.4,8.5,1.3,4.33,8.0,1.28,4.5,8.5,2006_2007,81,86,80,78,25.0,72,73,69,69,1.5
SP1,2006-01-10,Zaragoza,Levante,2.0,2.0,D,0.0,2.0,A,22.0,14.0,6.0,5.0,12.0,21.0,11.0,3.0,0.0,2.0,0.0,0.0,1.61,3.6,5.5,1.6,3.45,5.35,1.65,3.4,4.7,1.66,3.3,4.5,1.55,3.5,5.0,2006_2007,76,78,74,72,5.0,74,75,74,73,2.5
SP1,2006-10-14,Ath Madrid,Recreativo,2.0,1.0,H,0.0,0.0,D,16.0,14.0,4.0,4.0,15.0,17.0,5.0,3.0,0.0,2.0,1.0,1.0,1.44,4.0,7.5,1.4,4.15,6.75,1.45,3.6,7.0,1.44,3.5,7.0,1.4,3.75,7.0,2006_2007,79,82,77,77,6.0,72,74,73,70,1.5
SP1,2006-10-14,Getafe,Real Madrid,1.0,0.0,H,0.0,0.0,D,16.0,5.0,6.0,0.0,22.0,20.0,3.0,2.0,2.0,3.0,0.0,1.0,4.5,3.3,1.8,4.75,3.5,1.65,4.5,3.3,1.7,5.0,3.1,1.66,4.35,3.4,1.65,2006_2007,74,72,74,75,1.0,84,81,80,78,85.0
SP1,2006-10-15,Barcelona,Sevilla,3.0,1.0,H,2.0,1.0,H,7.0,3.0,5.0,2.0,1.0,3.0,2.0,2.0,1.0,6.0,0.0,0.0,1.57,3.6,6.0,1.55,3.6,5.6,1.55,3.6,5.3,1.57,3.3,5.5,1.55,3.5,5.0,2006_2007,85,83,83,82,75.0,79,83,73,77,15.0
SP1,2006-10-15,Betis,La Coruna,1.0,1.0,D,0.0,0.0,D,12.0,13.0,0.0,5.0,17.0,12.0,4.0,3.0,3.0,0.0,1.0,1.0,2.4,3.2,2.87,2.35,3.2,2.75,2.3,3.1,2.8,2.37,3.1,2.62,2.3,3.2,2.65,2006_2007,76,75,74,76,5.0,75,72,74,74,8.0
SP1,2006-10-15,Celta,Valencia,3.0,2.0,H,1.0,1.0,D,16.0,12.0,5.0,6.0,18.0,15.0,5.0,5.0,5.0,3.0,0.0,1.0,3.75,3.2,2.0,3.85,3.3,1.85,4.0,3.0,1.9,3.5,3.1,1.95,3.25,3.25,2.0,2006_2007,74,76,73,72,6.0,81,86,80,78,25.0
SP1,2006-10-15,Gimnastic,Ath Bilbao,2.0,3.0,A,0.0,2.0,A,12.0,14.0,5.0,3.0,19.0,14.0,5.0,6.0,1.0,2.0,1.0,0.0,2.37,3.2,2.9,2.45,3.15,2.65,2.4,3.1,2.7,2.3,3.1,2.75,2.3,3.2,2.65,2006_2007,72,73,69,69,1.5,76,75,74,73,1.0
SP1,2006-10-15,Levante,Mallorca,0.0,1.0,A,0.0,1.0,A,9.0,5.0,1.0,1.0,28.0,13.0,5.0,2.0,4.0,4.0,1.0,0.0,2.25,3.2,3.1,2.1,3.15,3.25,2.3,3.0,2.9,2.1,3.1,3.1,2.2,3.2,2.8,2006_2007,74,75,74,73,2.5,72,71,72,71,2.5
SP1,2006-10-15,Osasuna,Santander,0.0,1.0,A,0.0,0.0,D,17.0,8.0,4.0,3.0,19.0,13.0,6.0,6.0,5.0,5.0,0.0,0.0,1.8,3.3,4.5,1.7,3.45,4.5,1.85,3.0,4.2,1.72,3.1,4.5,1.65,3.4,4.35,2006_2007,78,80,76,74,7.5,72,74,72,67,2.5
SP1,2006-10-15,Sociedad,Zaragoza,1.0,3.0,A,1.0,1.0,D,6.0,17.0,3.0,9.0,21.0,11.0,7.0,7.0,2.0,2.0,1.0,0.0,2.6,3.2,2.62,2.5,3.15,2.6,2.55,3.1,2.55,2.5,3.1,2.5,2.4,3.2,2.5,2006_2007,72,71,73,70,2.5,76,78,74,72,5.0
SP1,2006-10-15,Villarreal,Espanol,0.0,0.0,D,0.0,0.0,D,8.0,9.0,4.0,2.0,17.0,18.0,5.0,4.0,2.0,1.0,0.0,0.0,1.57,3.6,6.0,1.6,3.5,5.25,1.6,3.5,5.0,1.6,3.4,4.8,1.6,3.25,5.0,2006_2007,77,81,77,74,15.0,76,78,74,68,15.0
SP1,2006-10-21,La Coruna,Ath Madrid,1.0,0.0,H,0.0,0.0,D,9.0,16.0,2.0,5.0,20.0,11.0,5.0,4.0,5.0,5.0,0.0,0.0,2.37,3.2,2.9,2.35,3.2,2.75,2.4,2.9,2.9,2.25,3.1,2.8,2.3,3.1,2.8,2006_2007,75,72,74,74,8.0,79,82,77,77,6.0
SP1,2006-10-21,Villarreal,Levante,1.0,1.0,D,0.0,0.0,D,10.0,15.0,2.0,3.0,19.0,21.0,2.0,5.0,3.0,4.0,0.0,0.0,1.61,3.6,5.5,1.6,3.5,5.25,1.6,3.4,5.2,1.61,3.3,5.0,1.6,3.3,5.0,2006_2007,77,81,77,74,15.0,74,75,74,73,2.5
SP1,2006-10-21,Zaragoza,Betis,2.0,1.0,H,2.0,0.0,H,17.0,9.0,5.0,2.0,16.0,15.0,6.0,1.0,2.0,2.0,0.0,1.0,1.83,3.3,4.33,1.8,3.35,4.0,1.75,3.2,4.3,1.72,3.2,4.33,1.75,3.25,4.35,2006_2007,76,78,74,72,5.0,76,75,74,76,5.0
SP1,2006-10-22,Ath Bilbao,Celta,0.0,1.0,A,0.0,1.0,A,19.0,9.0,6.0,4.0,21.0,20.0,5.0,2.0,4.0,2.0,0.0,0.0,2.37,3.2,2.9,2.3,3.15,2.85,2.4,3.0,2.8,2.25,3.1,2.8,2.35,3.0,2.8,2006_2007,76,75,74,73,1.0,74,76,73,72,6.0
SP1,2006-10-22,Espanol,Santander,2.0,2.0,D,1.0,1.0,D,8.0,11.0,4.0,2.0,21.0,23.0,0.0,3.0,1.0,3.0,0.0,1.0,2.0,3.2,3.75,1.95,3.25,3.55,2.0,3.0,3.6,2.1,3.1,3.1,1.9,3.2,3.75,2006_2007,76,78,74,68,15.0,72,74,72,67,2.5
SP1,2006-10-22,Mallorca,Sociedad,0.0,0.0,D,0.0,0.0,D,13.0,1.0,3.0,0.0,21.0,24.0,9.0,6.0,2.0,3.0,0.0,1.0,1.9,3.25,4.0,1.95,3.25,3.55,1.9,3.1,3.8,1.83,3.2,3.75,1.9,3.2,3.75,2006_2007,72,71,72,71,2.5,72,71,73,70,2.5
SP1,2006-10-22,Real Madrid,Barcelona,2.0,0.0,H,1.0,0.0,H,18.0,14.0,6.0,2.0,26.0,12.0,2.0,5.0,4.0,2.0,0.0,0.0,2.5,3.2,2.75,2.5,3.25,2.55,2.55,3.1,2.55,2.5,2.9,2.62,2.4,3.1,2.65,2006_2007,84,81,80,78,85.0,85,83,83,82,75.0
SP1,2006-10-22,Recreativo,Getafe,1.0,2.0,A,0.0,1.0,A,19.0,11.0,8.0,7.0,17.0,17.0,8.0,2.0,2.0,4.0,0.0,0.0,2.37,3.1,3.0,2.3,3.15,2.85,2.3,2.9,3.0,2.2,3.1,2.87,2.25,3.1,2.9,2006_2007,72,74,73,70,1.5,74,72,74,75,1.0
SP1,2006-10-22,Sevilla,Gimnastic,2.0,1.0,H,2.0,0.0,H,12.0,8.0,9.0,5.0,2.0,4.0,1.0,2.0,3.0,4.0,0.0,0.0,1.33,4.5,9.5,1.35,4.25,8.0,1.35,4.0,8.0,1.36,3.75,8.0,1.35,4.0,8.0,2006_2007,79,83,73,77,15.0,72,73,69,69,1.5
SP1,2006-10-22,Valencia,Osasuna,1.0,0.0,H,1.0,0.0,H,9.0,10.0,2.0,5.0,12.0,11.0,6.0,5.0,0.0,3.0,1.0,0.0,1.5,4.0,6.0,1.45,3.85,6.5,1.5,3.5,6.3,1.44,3.6,6.5,1.5,3.75,6.0,2006_2007,81,86,80,78,25.0,78,80,76,74,7.5
SP1,2006-10-28,Barcelona,Recreativo,3.0,0.0,H,1.0,0.0,H,12.0,6.0,8.0,4.0,22.0,14.0,0.0,3.0,2.0,2.0,0.0,0.0,1.16,6.5,15.0,1.15,6.65,12.0,1.17,5.4,13.0,1.2,5.0,11.0,1.17,5.5,12.0,2006_2007,85,83,83,82,75.0,72,74,73,70,1.5
